id,type,question,options,correctAnswer
1,true_false,"Most firms give their IT budgets a low priority in good economic times","True|False",1
2,true_false,"A mission-critical system is one that is unimportant to a company's operation","True|False",1
3,true_false,"In an information system, data is information that has been transformed into input that is valuable to users.","True|False",1
4,true_false,"Transaction processing (TP) system are inefficient because they process a set of transaction-related commands individually rather than as group","True|False",1
5,true_false,"Most lage companies require systems that combine transaction processng, business support, knowledge management, and user productivity features","True|False",0
6,true_false,"Since middle managers focus on a longer time frame, they need less detailed information than tip managers, but somewhat more than supervisors who oversee day-to-day operations","True|False",1
7,true_false,"Many companies find that a trend called empowerment, which gives employees more responsibility and accountablility, improves employee motivation and increases customer satisfaction","True|False",0
8,true_false,"Network administration includes hardware and software maintanance, support, and security","True|False",0
9,true_false,"In a knowledge management system, a knowledge base consists of logical rules that identify data patterns and relationships.","True|False",1
10,true_false,"The responsibilities of a systems analyst at a small firm are exactly the same as those at a large corporation.","True|False",1
11,true_false,"Tools make it easier to build an information system, thereby boosting IT productivity and improving the quality of the finished product.","True|False",0
12,true_false,"After developing a model, many CASE tools can generate program code, which impedes and slows down the implementation process.","True|False",1
13,true_false,"Application software consists of programs that support day-to-day business functions and provide users with the information they need.","True|False",0
14,true_false,"User support provides users with technical information, training, and productivity support.","True|False",0
15,true_false,"Assistive technology refers to the combination of hardware, software, and services that people use to manage, communicate, and share information.","True|False",1
16,true_false,"A large concentration of networked computers working together is called a data ranch.","True|False",1
17,true_false,"System software controls the flow of data, provides data security, and manages network operations.","True|False",0
18,true_false,"Examples of company-wide applications, called legacy applications, include order processing systems, payroll systems, and company communications networks.","True|False",1
19,true_false,"Hardware consists of everything in the physical layer of the information system.","True|False",0
20,true_false,"When planning an information system, a company must consider how a new system will interface with older systems, which are called horizontal systems.","True|False",1
21,true_false,"Traditional relational models are still used, but so-called NoSQL databases are gaining in popularity due to their ability to scale to extremely large and unstructured datasets.","True|False",0
22,true_false,"On mobile devices, the user interacts with the system with an app, but the same back-end services are accessed as when the user interacts with a web page.","True|False",0
23,true_false,"A business profile is a specific set of transactions, events, and results that can be described and documented.","True|False",1
24,true_false,"Business process modeling notation (BPMN) includes standard shapes and symbols to represent events, processes, workflows, and more.","True|False",0
25,true_false,"When one is using a transaction processing system, if a single element of a transaction fails, the system will skip the corrupt element and continue to process the rest of the transaction.","True|False",1
26,true_false,"When companies first installed word processing systems, managers expected to reduce the number of employees as office efficiency increased.","True|False",0
27,true_false,"Knowledge workers and team leaders are included in the top level of the organizational model.","True|False",1
28,true_false,"The waterfall model emphasizes interactivity among the phases.","True|False",1
29,true_false,"Object-oriented methods provide an easy transition to O-O programming languages such as C++, Java, and Swift.","True|False",0
30,true_false,"The structure of the IT department varies among companies, as do its name and placement within the organization.","True|False",0
31,single_choice,"When planning an information system, a company must consider how a new system will interface with older systems, which are called .","enterprise applications|network operating systems (NOS)|operating applications|legacy systems",3
32,single_choice,"Internet-based commerce is called and includes two main sectors: B2C (business-to-consumer) and B2B (business-to-business).","electronic commerce|network-oriented commerce|virtual trading|online trading",0
33,single_choice,"Which is one of the main sectors of ecommerce?","C2C (consumer-to-consumer)|B2C (business-to-consumer)|C2B (consumer-to-business)|BPM (business process model)",1
34,single_choice,"__________ enabled computer-to-computer transfer of data between companies, usually over private telecommunications networks.","Electronic data interchange (EDI)|Radio frequency identification (RFID)|Enterprise resource planning (ERP)|Object-oriented (O-O) analysis",0
35,single_choice,"A ______ is an overview that describes a company's overall functions, processes, organization, products, services, customers, suppliers, competitors, constraints, and future direction.","business matrix|business profile|business index|business glossary",1
36,single_choice,"A _______ graphically displays one or more business processes, such as handling an airline reservation, filling a product order, or updating a customer account.","business matrix model (BMM)|business process model (BPM)|business indexing model (BIM)|business strategic model (BSM)",1
37,single_choice,"For complex models, analysts can choose computer-based modeling tools that use ___________ , which includes standard shapes and symbols to represent events, processes, workflows, and more.","electronic data interchange (EDI)|joint application development (JAD)|business process modeling notation (BPMN)|rapid application development (RAD)",2
38,single_choice,"Transaction processing (TP) systems _____________.","provide job-related information to users at all levels of a company|simulate human reasoning by combining a knowledge base and inference rules that determine how the knowledge is applied|process data generated by day-to-day business operations|include email, voice mail, fax, video conferencing, word processing, automated calendars, database management, spreadsheets, and integrated mobile computing systems",2
39,single_choice,"Business support systems _____________.","provide job-related information support to users at all levels of a company|simulate human reasoning by combining a knowledge base and inference rules that determine how the knowledge is applied|process data generated by day-to-day business operations|include email, voice mail, fax, video conferencing, word processing, automated calendars, database management, spreadsheets, and integrated mobile computing systems",0
40,single_choice,"____________ technology uses high-frequency radio waves to track physical objects.","Redundant array of independent disks (RAID)|Radio frequency identification (RFID)|Enterprise resource planning (ERP)|Management information system (MIS)",1
41,single_choice,"Knowledge management systems use a large database called a(n) ___________ that allows users to find information by entering keywords or questions in normal English phrases.","inference engine|knowledge base|knowledge database management system|inference manager",1
42,single_choice,"User productivity systems _____________.","provide job-related information to users at all levels of a company|simulate human reasoning by combining a knowledge base and inference rules that determine how the knowledge is applied|process data generated by day-to-day business operations|include groupware programs that enable users to share data, collaborate on projects, and work in teams",3
43,single_choice,"In a typical organizational model, top managers ___________.","develop long-range plans, called strategic plans, which define a company's overall mission and goals|provide direction, necessary resources, and performance feedback to supervisors and team leaders|oversee operation employees and carry out day-to-day functions, coordinating operational tasks and people|include users who rely on transaction processing (TP) systems to enter and receive the data they need to perform their jobs",0
44,single_choice,"In a typical company organizational model, middle managers ______________.","develop long-range plans, called strategic plans, which define the company's overall mission and goals|provide direction, necessary resources, and performance feedback to supervisors and team leaders|oversee operation employees and carry out day-to-day functions, coordinating operational tasks and people|include users who rely on transaction processing (TP) systems to enter and receive the data they need to perform their jobs",1
45,single_choice,"__________ is a systems development technique that produces a graphical representation of a concept or process that systems developers can analyze, test, and modify.","Prototyping|Rapid application development|Scrum|Modeling",3
46,single_choice,"A ___________ describes the information that a system must provide.","process model|data model|business model|network model",2
