id,type,question,options,correctAnswer
1,true_false,"One of the four functional areas of operation is Human Resources (HR).","True|False",0
2,true_false,"Historically, businesses have had organizational structures that separated the functional areas, but business schools have not been organized like that.","True|False",1
3,true_false,"Information systems that are designed so functional areas share data are called integrated information system.","True|False",0
4,true_false,"Sales forecast are historical records of sales.","True|False",1
5,true_false,"The business process of Cash Flow Management in handled under the Accounting and Finance.","True|False",0
6,true_false,"The functional are of Supply Chain Management (SCM) sets prices.","True|False",1
7,true_false,"When manufacturing runs out of raw materials, it's known as a stockout.","True|False",0
8,true_false,"To avoid stockout, manufactures might carry extra raw materials. This excess is known as safety stock.","True|False",0
9,true_false,"Accounts receivable are recorded by Human Resources department (HR).","True|False",1
10,true_false,"The business function of government compliance falls under the Supply Chain Management Functional area of operation.","True|False",1
11,single_choice,"Which of the following is a functional area of operation?","packaging|supply chain management|shipping|baking",1
12,single_choice,"Which business function is performed by accounting and finance?","cost allocation and control|taking sales orders|benefits|plant maintenance",0
13,single_choice,"What are the computers, people, procedures, and software that store, organize, and deliver information in an organization?","The CPU|The process system|Information system|Personnel systems",2
14,single_choice,"Today's managers are begging to think in terms of business process. A business process cuts across which functional areas of operation?","marketing and sales|supply chain management|accounting and finance|human resources|all the above",4
15,single_choice,"Information systems that can be designed so that functional areas of operation share data are called:","integrated information systems|complete information system|non-middleware information system|linked information system",0
16,single_choice,"Estimates of future product demands, which are the amount of a product that customer will want to buy, are called:","sales forecasting|sales divining|sales diving|sales deriving",0
17,single_choice,"Which of the following is an input to the Marketing and Sales functional area?","production plans|raw materials orders|per-unit cost|accounts payable",2
18,single_choice,"When purchasing a computer, the functional area responsible for handling the financial help for purchasing the computer is:","marketing and sales|accounting and finance|supply chain management|human resources",1
19,single_choice,"Successful business managers view their business operations from the perspective of a(n):","satisfied customer|positive cash flow|profitable sale|accurate sales forecast",0
20,single_choice,"When manufacturing runs out of raw materials, it is know as a(n):","shortfall|empty shelf|depletion|stockout",3
21,single_choice,"_______ can result in management overestimating in inventory.","bulging raw materials|stockup|safety stock|excess baggage",2
22,single_choice,"Which of the following outputs would emerge from the Accounting and Finance functional ares?","packaging orders|sales strategy|regulation compliance|financial reports",3
23,single_choice,"Which of the following is an input to HR?","personnel forecast|sales data|layoff and recall company policy|travel expense company policy",0
24,fill_blank,"_____________ programs are core software used by companies to coordinate information in every area of the business.","",enterprise resources planning
25,fill_blank,"A collection of activities that takes one or more kinds of input and creates an output that is of value to the customer is called a(n) ________________.","",business process
26,fill_blank,"The business functions of financial accounting, cost allocation and control, planning and budgeting, and cash-flow management take place in the __________ functional area of operation.","",accounting and finance
27,fill_blank,"One example of the business function that happen in the human resources area of operation would be __________.","",recruiting and hiring
28,fill_blank,"A(n) ____________ includes the computer, people procedures, and software that store, organize, and deliver information.","",information system
29,fill_blank,"Information system designed so that functional area share data are called ________.","",integrated information system
30,fill_blank,"A shortfall of raw materials is know as a(n) ____________.","",stockout
31,fill_blank,"To avoid stockout manufactures might carry extra raw materials known as _____________.","",safety stock
32,true_false,"Individual information systems for each functional area in a company are know as silos.","True|False",0
33,true_false,"Silos of information are also know as stovepipes.","True|False",0
34,true_false,"The complex hardware and software that goes into an ERP system was not available until the 1970's.","True|False",1
35,true_false,"The capabilities of computer hardware doubling every 18 months is known as Gates Law.","True|False",1
36,true_false,"Scalability means that the capacity of a piece of equipment can be increased by adding new hardware.","True|False",0
37,true_false,"The software that holds data in an organized function is known as a database management system, or a DBMS.","True|False",0
38,true_false,"Materials requirement prediction (MRP) software allows a plant manager to plan production and raw materials requirement by guess- timation.","True|False",1
39,true_false,"The direct computer-to-computer exchange of standard business document is known as EDI, or electronic data interchange.","True|False",0
40,true_false,"The functional model of business and management was useful for decades and is still the current school of thought.","True|False",1
41,true_false,"SAP expanded into international markets but kept the software in a single language, German, and a single currency, the Euro.","True|False",1
42,true_false,"SAP's R/3 can only run on mainframe computers.","True|False",1
43,true_false,"SAP's goal was to develop a standard software production that could be configured to meet the need of each company.","True|False",0
44,true_false,"Old system are know as legacy system.","True|False",0
45,true_false,"Open architecture encourages software companies are encouraged to develop add-on-software.","True|False",0
46,true_false,"In the accompanying figure, data is entered into the system once and then used throughout the organization. In figure 2-4 data flows within an integration information system.","True|False",0
47,true_false,"An ERP system allows data to be entered once, and then used throughout the organization.","True|False",0
48,true_false,"An ERP module is a module that automates a specific business function.","True|False",1
49,true_false,"A company's level of data integration is highest when the company uses one vendor to supply all of its ERP modules.","True|False",0
50,true_false,"An important consideration in minimizing the risk of fraud and abuse is defining limits on the dollar value of business transactions that certain employees can process.","True|False",0
51,true_false,"A best practice is the best, most efficient way of handling a certain business process.","True|False",0
52,true_false,"One benefit of ERP systems is that ERP integrates people and data while eliminating the need to update and repair many separate computer systems.","True|False",0
53,true_false,"A large company will likely spent $1 million on ERP implementation, which includes software and training.","True|False",1
54,true_false,"Not every company is a good match with the constraints inherent in ERP.","True|False",0
55,true_false,"SAP's internal programming language is Visual Basic.","True|False",1
56,true_false,"A return on investment (ROI) is an assessment of an investment project's value, calculated by dividing the value of the project's benefits by the project's cost.","True|False",0
57,single_choice,"Individual information systems for each functional area in a company are known as:","silos|bagpipes|tubers|separated systems.",0
58,single_choice,"The complex software and hardware required for ERP systems was not available until the:","1960's|1970's|1980's|1990's",3
59,single_choice,"The observation that the number of transistors built onto a computer chip doubles every 18 months is known as:","moore's law|gates prophesy|doubletake|acceleration",0
60,single_choice,"When a piece of equipment's capacity is exceeded, its capacity can be increased by adding new hardware. This is commonly known as:","adaptability|middleware|scalability|computability",2
61,single_choice,"In the 1980s, ____, the technology that holds data in an organized fashion, existed for ERP development.","spreadsheets|DBMS|client/server architecture|word-processors",1
62,single_choice,"_______ software allows a plant manager to plan production and raw materials requirements by working backward from the sales forecast.","DBMS|EDI|MRP|EFT",2
63,single_choice,"The direct computer-to-computer exchange of standard business documents is known as:","MRP|e-mail|EDI|DDS",2
64,single_choice,"In a process-oriented company, the flow of information and management activity is ______, in line with the flow of materials and products.","horizontal across functions|vertical from top level management down through the hierarchical management structure|vertical through functions|horizontal from marketing and sales to inventory and production",0
65,single_choice,"Software _______ are individual programs that can be purchased, installed, and run separately, but extract data from the common database.","nodes|chunks|modules|tidbits",2
66,single_choice,"In ______, third-party software companies are encouraged to develop add-on software products that can be integrated with existing software.","open architecture|clip-ons|integrated pieces|piecemeal nodes",0
67,single_choice,"____ is SAP's biggest competitor.","J.D. Edwards|PeopleSoft|Microsoft|Oracle",3
68,single_choice,"Old information and computer systems are known as ______.","dinosaurs|passe systems|legacy systems|relics",2
69,single_choice,"Which ERP package is a popular software choice for managing human resources and financial activities at universities?","SAP|PeopleSoft|Microsoft Dynamics|J.D. Edwards",1
70,single_choice,"Which R/3 module records sales orders?","SD|MM|PP|QM",0
71,single_choice,"15. Which of the following modules in SAP ERP maintains production information?","SD|MM|PP|QM",2
72,single_choice,"The ______ module helps the company manage fixed-asset purchases (plant and machinery) and related depreciation.","Plant Maintenance|Asset Management|Materials Management|Product Planning",1
73,single_choice,"Which of the following module in SAP is a set of tools that can automate the activities in SAP ERP?","Workflow|Controlling|Financial Accounting|Project System",0
74,single_choice,"When top management is queried on the reasons for implementing ERP systems, the overriding answer is ____.","cost saving|control|increased profitability|inventory management",1
75,single_choice,"Which R/3 module records transactions in the general ledger?","CO|WF|FI|PS",2
76,single_choice,"After a company chooses the modules they want to implement, they must decide on ____ options, which allow the customer to customize the modules to fit their business to some extent.","settings|configuration|flexible|tandem",1
77,single_choice,"As part of the ______ process, a company can define any number of tolerance groups with a range of limits, and can then assign employees to these tolerance groups. Figure 2-6 A customization example: tolerance groups to set transaction limits","manufacturing|development|configuration|programming",2
78,single_choice,"Which of the following is a benefit to running an ERP system?","Global integration|Elimination of updating and repairing multiple systems|Capability to manage operations, not just monitor them|All of the above are benefits",3
79,single_choice,"An ERP system for a large company will cost ____, including software, training, and implementation.","$100-500 million|$1-5 million|$1-5 billion|$50,000-$500,000",0
80,single_choice,"SAP's internal programming language is called:","R/3|C++|Visual Basic|ABAP",3
